Rule,File,Line,Column,Severity,Message
reportArgumentType,/workspace/app/validators/document_validator.py,91,53,error,"Argument of type ""Literal[DocumentType.CIVIL_CODE, DocumentType.CIVIL_PROCEDURE, DocumentType.CONTRACT, DocumentType.PLEADING] | None"" cannot be assigned to parameter ""document_type"" of type ""DocumentType"" in function ""_validate_statute_document""
  Type ""Literal[DocumentType.CIVIL_CODE, DocumentType.CIVIL_PROCEDURE, DocumentType.CONTRACT, DocumentType.PLEADING] | None"" is not assignable to type ""DocumentType""
    ""None"" is not assignable to ""DocumentType"""
reportArgumentType,/workspace/ingest/embed.py,76,54,error,"Argument of type ""Literal['keyword']"" cannot be assigned to parameter ""type"" of type ""KeywordIndexType"" in function ""__init__""
  ""Literal['keyword']"" is not assignable to ""KeywordIndexType"""
reportArgumentType,/workspace/ingest/embed.py,82,54,error,"Argument of type ""Literal['keyword']"" cannot be assigned to parameter ""type"" of type ""KeywordIndexType"" in function ""__init__""
  ""Literal['keyword']"" is not assignable to ""KeywordIndexType"""
reportArgumentType,/workspace/ingest/embed.py,88,54,error,"Argument of type ""Literal['keyword']"" cannot be assigned to parameter ""type"" of type ""KeywordIndexType"" in function ""__init__""
  ""Literal['keyword']"" is not assignable to ""KeywordIndexType"""
reportArgumentType,/workspace/ingest/embed.py,309,47,error,"Argument of type ""Literal['text']"" cannot be assigned to parameter ""type"" of type ""TextIndexType"" in function ""__init__""
  ""Literal['text']"" is not assignable to ""TextIndexType"""
reportArgumentType,/workspace/ingest/embed.py,321,54,error,"Argument of type ""Literal['keyword']"" cannot be assigned to parameter ""type"" of type ""KeywordIndexType"" in function ""__init__""
  ""Literal['keyword']"" is not assignable to ""KeywordIndexType"""
reportArgumentType,/workspace/ingest/pdf2chunks.py,226,13,error,"Argument of type ""Dict[str, Any]"" cannot be assigned to parameter ""value"" of type ""str"" in function ""__setitem__""
  ""Dict[str, Any]"" is not assignable to ""str"""
reportArgumentType,/workspace/ingest/preprocess_sn_o3.py,483,49,error,"Argument of type ""Ruling"" cannot be assigned to parameter ""ruling"" of type ""ParsedRuling"" in function ""enhance_entities_with_o3""
  ""Ruling"" is not assignable to ""ParsedRuling"""
reportArgumentType,/workspace/ingest/sn.py,95,62,error,"Argument of type ""bool"" cannot be assigned to parameter ""whereclause"" of type ""_ColumnExpressionArgument[bool]"" in function ""where""
  Type ""bool"" is not assignable to type ""_ColumnExpressionArgument[bool]""
    ""bool"" is not assignable to ""ColumnElement[bool]""
    ""bool"" is incompatible with protocol ""_HasClauseElement[bool]""
      ""__clause_element__"" is not present
    ""bool"" is not assignable to ""SQLCoreOperations[bool]""
    ""bool"" is not assignable to ""ExpressionElementRole[bool]""
    ""bool"" is not assignable to ""TypedColumnsClauseRole[bool]""
    Type ""bool"" is not assignable to type ""() -> ColumnElement[bool]""
  ..."
reportArgumentType,/workspace/ingest/templates.py,101,66,error,"Argument of type ""Any | bool"" cannot be assigned to parameter ""whereclause"" of type ""_ColumnExpressionArgument[bool]"" in function ""where""
  Type ""Any | bool"" is not assignable to type ""_ColumnExpressionArgument[bool]""
    Type ""bool"" is not assignable to type ""_ColumnExpressionArgument[bool]""
      ""bool"" is not assignable to ""ColumnElement[bool]""
      ""bool"" is incompatible with protocol ""_HasClauseElement[bool]""
        ""__clause_element__"" is not present
      ""bool"" is not assignable to ""SQLCoreOperations[bool]""
      ""bool"" is not assignable to ""ExpressionElementRole[bool]""
      ""bool"" is not assignable to ""TypedColumnsClauseRole[bool]""
  ..."
reportArgumentType,/workspace/ingest/templates_preprocess.py,90,35,error,"Argument of type ""(t: Unknown = text) -> CoroutineType[Any, Any, Template | None]"" cannot be assigned to parameter ""object"" of type ""() -> Coroutine[Any, Any, Template]"" in function ""append""
  Type ""(t: Unknown = text) -> CoroutineType[Any, Any, Template | None]"" is not assignable to type ""() -> Coroutine[Any, Any, Template]""
    Function return type ""CoroutineType[Any, Any, Template | None]"" is incompatible with type ""Coroutine[Any, Any, Template]""
      ""CoroutineType[Any, Any, Template | None]"" is not assignable to ""Coroutine[Any, Any, Template]""
        Type parameter ""_ReturnT_nd_co@Coroutine"" is covariant, but ""Template | None"" is not a subtype of ""Template""
          Type ""Template | None"" is not assignable to type ""Template"""
